,cell_barcode,column,row,z_axis,gridc_gridr_tilenum
0,37,112,1554,20,"0,1,1"
1,34,192,1494,24,"0,1,1"
2,33,356,1474,16,"0,1,1"
3,35,396,1502,24,"0,1,1"
4,13,142,1229,24,"0,1,1"
5,55,832,1806,24,"0,1,1"
6,42,660,1630,20,"0,1,1"
7,47,148,1698,20,"0,1,1"
8,16,34,1416,19,"0,1,1"
9,57,216,1826,20,"0,1,1"
10,39,204,1590,20,"0,1,1"
11,50,232,1754,24,"0,1,1"
12,141,650,2463,12,"0,2,2"
13,146,250,2539,8,"0,2,2"
14,147,862,2551,8,"0,2,2"
15,168,518,2719,12,"0,2,2"
16,170,822,2731,8,"0,2,2"
17,79,638,2450,19,"0,2,2"
18,105,270,2139,24,"0,2,2"
19,169,582,2723,8,"0,2,2"
20,144,150,2511,8,"0,2,2"
21,167,638,2715,8,"0,2,2"
22,150,874,2583,24,"0,2,2"
23,117,206,2271,8,"0,2,2"
24,201,781,2852,7,"0,3,3"
25,189,655,2962,7,"0,3,3"
26,266,323,3078,8,"0,3,3"
27,288,787,3302,12,"0,3,3"
28,287,195,3290,24,"0,3,3"
29,303,659,3498,4,"0,3,3"
30,311,871,3622,8,"0,3,3"
31,308,675,3582,8,"0,3,3"
32,208,129,3618,15,"0,3,3"
33,315,799,3654,8,"0,3,3"
34,284,519,3238,8,"0,3,3"
35,291,599,3378,8,"0,3,3"
36,207,42,3363,15,"0,3,3"
37,312,443,3630,12,"0,3,3"
38,206,492,3713,11,"0,3,3"
39,265,455,3074,4,"0,3,3"
40,275,311,3182,4,"0,3,3"
41,286,379,3278,4,"0,3,3"
42,251,371,2922,12,"0,3,3"
43,253,483,2926,4,"0,3,3"
44,282,99,3230,8,"0,3,3"
45,293,755,3410,8,"0,3,3"
46,316,351,3666,8,"0,3,3"
47,273,195,3170,8,"0,3,3"
48,363,491,3717,11,"0,4,4"
49,406,451,4104,12,"0,4,4"
50,433,687,4308,4,"0,4,4"
51,429,111,4284,20,"0,4,4"
52,384,551,3736,4,"0,4,4"
53,393,395,3924,4,"0,4,4"
54,412,783,4172,12,"0,4,4"
55,446,199,4412,12,"0,4,4"
56,356,671,4459,3,"0,4,4"
57,452,567,4480,4,"0,4,4"
58,341,207,4520,11,"0,4,4"
59,458,747,4564,8,"0,4,4"
60,459,451,4576,12,"0,4,4"
61,461,703,4604,4,"0,4,4"
62,463,331,4616,8,"0,4,4"
63,460,531,4588,8,"0,4,4"
64,322,830,4635,2,"0,4,4"
65,397,255,3996,16,"0,4,4"
66,400,287,4044,4,"0,4,4"
67,413,367,4180,4,"0,4,4"
68,383,199,3716,8,"0,4,4"
69,358,394,4211,7,"0,4,4"
70,396,851,3976,12,"0,4,4"
71,411,279,4156,0,"0,4,4"
72,447,543,4416,8,"0,4,4"
73,387,343,3816,20,"0,4,4"
74,410,31,4156,8,"0,4,4"
75,456,755,4532,4,"0,4,4"
76,405,819,4088,8,"0,4,4"
77,422,883,4248,4,"0,4,4"
78,436,735,4348,12,"0,4,4"
79,417,471,4204,4,"0,4,4"
80,338,539,4063,6,"0,4,4"
81,395,575,3968,4,"0,4,4"
82,502,1323,820,12,"1,0,5"
83,503,1255,860,16,"1,0,5"
84,506,1191,888,12,"1,0,5"
85,505,1423,884,8,"1,0,5"
86,510,1259,952,16,"1,0,5"
87,474,1311,926,15,"1,0,5"
88,465,1217,802,11,"1,0,5"
89,507,1379,888,8,"1,0,5"
90,476,1274,806,19,"1,0,5"
91,581,1511,1577,12,"1,1,6"
92,587,1407,1713,8,"1,1,6"
93,554,1201,1760,19,"1,1,6"
94,592,1155,1785,24,"1,1,6"
95,536,1125,1401,20,"1,1,6"
96,579,1399,1513,24,"1,1,6"
97,583,1459,1601,20,"1,1,6"
98,591,1043,1769,8,"1,1,6"
99,586,1459,1693,20,"1,1,6"
100,594,1347,1797,4,"1,1,6"
101,577,1427,1461,24,"1,1,6"
102,582,1131,1601,12,"1,1,6"
103,589,1319,1745,8,"1,1,6"
104,564,1303,1101,16,"1,1,6"
105,573,1443,1301,24,"1,1,6"
106,595,1235,1821,4,"1,1,6"
107,566,1251,1169,24,"1,1,6"
108,570,1235,1225,24,"1,1,6"
109,565,1239,1153,12,"1,1,6"
110,590,1007,1761,24,"1,1,6"
111,662,1116,1939,20,"1,2,7"
112,666,1484,2003,20,"1,2,7"
113,671,1508,2055,12,"1,2,7"
114,676,1268,2175,24,"1,2,7"
115,652,1841,2166,19,"1,2,7"
116,680,1068,2251,24,"1,2,7"
117,617,1186,2291,15,"1,2,7"
118,684,1428,2359,16,"1,2,7"
119,683,1852,2303,16,"1,2,7"
120,685,1012,2367,24,"1,2,7"
121,692,1752,2479,0,"1,2,7"
122,693,1468,2507,12,"1,2,7"
123,696,1488,2555,24,"1,2,7"
124,704,1768,2747,24,"1,2,7"
125,659,1176,1883,20,"1,2,7"
126,678,1748,2243,24,"1,2,7"
127,687,1724,2387,20,"1,2,7"
128,700,1848,2647,20,"1,2,7"
129,679,1604,2247,20,"1,2,7"
130,697,1732,2559,4,"1,2,7"
131,703,1636,2743,24,"1,2,7"
132,634,1815,1950,11,"1,2,7"
133,665,1224,2003,20,"1,2,7"
134,663,1636,1983,24,"1,2,7"
135,705,1420,2779,20,"1,2,7"
136,660,1748,1887,4,"1,2,7"
137,632,1282,2543,1,"1,2,7"
138,699,1144,2631,24,"1,2,7"
139,668,1668,2023,8,"1,2,7"
140,689,1804,2399,24,"1,2,7"
141,694,1244,2527,24,"1,2,7"
142,670,1552,2051,12,"1,2,7"
143,795,1543,2881,4,"1,3,8"
144,764,1815,2881,11,"1,3,8"
145,798,1855,2981,4,"1,3,8"
146,801,1759,3033,24,"1,3,8"
147,805,1731,3081,16,"1,3,8"
148,806,1091,3109,8,"1,3,8"
149,809,1435,3229,20,"1,3,8"
150,744,1250,3237,19,"1,3,8"
151,810,1151,3273,12,"1,3,8"
152,811,1547,3289,12,"1,3,8"
153,816,1515,3389,24,"1,3,8"
154,752,1379,3383,7,"1,3,8"
155,822,1619,3433,12,"1,3,8"
156,827,1723,3525,24,"1,3,8"
157,830,1779,3609,16,"1,3,8"
158,833,1583,3661,4,"1,3,8"
159,799,1595,3021,4,"1,3,8"
160,824,1115,3473,16,"1,3,8"
161,825,1871,3473,20,"1,3,8"
162,803,1803,3065,8,"1,3,8"
163,812,1295,3297,16,"1,3,8"
164,819,1119,3405,24,"1,3,8"
165,821,1539,3421,20,"1,3,8"
166,829,1127,3577,24,"1,3,8"
167,800,1491,3033,20,"1,3,8"
168,785,1518,3026,15,"1,3,8"
169,815,1211,3389,16,"1,3,8"
170,814,1283,3385,0,"1,3,8"
171,834,1839,3669,20,"1,3,8"
172,797,1331,2909,0,"1,3,8"
173,813,1855,3305,24,"1,3,8"
174,796,1051,2897,8,"1,3,8"
175,777,1842,3608,19,"1,3,8"
176,826,1047,3521,12,"1,3,8"
177,884,1105,3712,23,"1,4,9"
178,898,1715,3789,16,"1,4,9"
179,910,1703,4017,8,"1,4,9"
180,922,1599,4109,12,"1,4,9"
181,926,1383,4173,12,"1,4,9"
182,929,1235,4193,20,"1,4,9"
183,933,1607,4221,8,"1,4,9"
184,942,1267,4301,16,"1,4,9"
185,931,1479,4197,12,"1,4,9"
186,902,1171,3849,24,"1,4,9"
187,946,991,4437,4,"1,4,9"
188,903,1547,3853,20,"1,4,9"
189,907,1463,3961,8,"1,4,9"
190,909,1203,4017,20,"1,4,9"
191,911,1443,4021,16,"1,4,9"
192,915,1359,4061,16,"1,4,9"
193,919,1647,4089,8,"1,4,9"
194,921,1191,4109,8,"1,4,9"
195,941,1655,4297,4,"1,4,9"
196,918,1511,4085,20,"1,4,9"
197,927,1451,4181,20,"1,4,9"
198,923,1423,4141,8,"1,4,9"
199,924,1683,4161,8,"1,4,9"
200,896,1299,3729,24,"1,4,9"
201,936,1491,4249,8,"1,4,9"
202,1008,1660,4621,16,"1,5,10"
203,1016,1524,4717,12,"1,5,10"
204,983,1519,5085,15,"1,5,10"
205,1063,1320,5277,12,"1,5,10"
206,1075,1444,5385,24,"1,5,10"
207,1023,1252,4793,12,"1,5,10"
208,1022,1188,4789,8,"1,5,10"
209,1032,1836,4925,16,"1,5,10"
210,1035,1668,4957,12,"1,5,10"
