,column,row,z_axis,cell_states
0,142.0,1229.0,24.0,aCM1
1,34.0,1416.0,19.0,aCM1
2,356.0,1474.0,16.0,aCM1
3,192.0,1494.0,24.0,aCM1
4,396.0,1502.0,24.0,aCM1
5,112.0,1554.0,20.0,aCM1
6,204.0,1590.0,20.0,aCM1
7,660.0,1630.0,20.0,aCM1
8,148.0,1698.0,20.0,aCM1
9,232.0,1754.0,24.0,aCM1
10,832.0,1806.0,24.0,aCM1
11,216.0,1826.0,20.0,aCM1
12,638.0,2450.0,19.0,aCM1
13,270.0,2139.0,24.0,aCM3
14,206.0,2271.0,8.0,aCM1
15,650.0,2463.0,12.0,aCM1
16,150.0,2511.0,8.0,aCM1
17,250.0,2539.0,8.0,aCM1
18,862.0,2551.0,8.0,aCM1
19,874.0,2583.0,24.0,aCM1
20,638.0,2715.0,8.0,aCM1
21,518.0,2719.0,12.0,aCM1
22,582.0,2723.0,8.0,aCM1
23,822.0,2731.0,8.0,aCM1
24,655.0,2962.0,7.0,aCM1
25,781.0,2852.0,7.0,aCM1
26,492.0,3713.0,11.0,aCM1
27,42.0,3363.0,15.0,aCM1
28,129.0,3618.0,15.0,aCM1
29,371.0,2922.0,12.0,aCM1
30,483.0,2926.0,4.0,aCM1
31,455.0,3074.0,4.0,aCM1
32,323.0,3078.0,8.0,aCM1
33,195.0,3170.0,8.0,aCM1
34,311.0,3182.0,4.0,aCM1
35,99.0,3230.0,8.0,aCM1
36,519.0,3238.0,8.0,aCM1
37,379.0,3278.0,4.0,aCM1
38,195.0,3290.0,24.0,aCM1
39,787.0,3302.0,12.0,aCM1
40,599.0,3378.0,8.0,aCM1
41,755.0,3410.0,8.0,aCM1
42,659.0,3498.0,4.0,aCM1
43,675.0,3582.0,8.0,aCM1
44,871.0,3622.0,8.0,aCM1
45,443.0,3630.0,12.0,aCM1
46,799.0,3654.0,8.0,aCM1
47,351.0,3666.0,8.0,aCM1
48,830.0,4635.0,2.0,aCM1
49,539.0,4063.0,6.0,aCM1
50,207.0,4520.0,11.0,aCM1
51,671.0,4459.0,3.0,aCM1
52,394.0,4211.0,7.0,aCM1
53,491.0,3717.0,11.0,aCM1
54,199.0,3716.0,8.0,aCM1
55,551.0,3736.0,4.0,aCM1
56,343.0,3816.0,20.0,aCM1
57,395.0,3924.0,4.0,aCM1
58,575.0,3968.0,4.0,aCM1
59,851.0,3976.0,12.0,aCM1
60,255.0,3996.0,16.0,aCM1
61,287.0,4044.0,4.0,aCM1
62,819.0,4088.0,8.0,aCM1
63,451.0,4104.0,12.0,aCM1
64,31.0,4156.0,8.0,aCM1
65,279.0,4156.0,0.0,aCM1
66,783.0,4172.0,12.0,aCM1
67,367.0,4180.0,4.0,aCM1
68,471.0,4204.0,4.0,aCM1
69,883.0,4248.0,4.0,aCM1
70,111.0,4284.0,20.0,aCM1
71,687.0,4308.0,4.0,aCM1
72,735.0,4348.0,12.0,aCM1
73,199.0,4412.0,12.0,aCM1
74,543.0,4416.0,8.0,aCM1
75,567.0,4480.0,4.0,aCM1
76,755.0,4532.0,4.0,aCM1
77,747.0,4564.0,8.0,aCM1
78,451.0,4576.0,12.0,aCM1
79,531.0,4588.0,8.0,aCM1
80,703.0,4604.0,4.0,aCM1
81,331.0,4616.0,8.0,aCM1
82,1217.0,802.0,11.0,aCM1
83,1311.0,926.0,15.0,aCM1
84,1274.0,806.0,19.0,aCM1
85,1323.0,820.0,12.0,aCM1
86,1255.0,860.0,16.0,aCM1
87,1423.0,884.0,8.0,aCM1
88,1191.0,888.0,12.0,aCM1
89,1379.0,888.0,8.0,aCM1
90,1259.0,952.0,16.0,aCM1
91,1125.0,1401.0,20.0,aCM1
92,1201.0,1760.0,19.0,aCM3
93,1303.0,1101.0,16.0,aCM1
94,1239.0,1153.0,12.0,aCM1
95,1251.0,1169.0,24.0,aCM1
96,1235.0,1225.0,24.0,aCM1
97,1443.0,1301.0,24.0,aCM1
98,1427.0,1461.0,24.0,aCM3
99,1399.0,1513.0,24.0,aCM1
100,1511.0,1577.0,12.0,aCM1
101,1131.0,1601.0,12.0,aCM1
102,1459.0,1601.0,20.0,aCM1
103,1459.0,1693.0,20.0,aCM1
104,1407.0,1713.0,8.0,aCM1
105,1319.0,1745.0,8.0,aCM1
106,1007.0,1761.0,24.0,aCM1
107,1043.0,1769.0,8.0,aCM1
108,1155.0,1785.0,24.0,aCM3
109,1347.0,1797.0,4.0,aCM1
110,1235.0,1821.0,4.0,aCM1
111,1186.0,2291.0,15.0,aCM3
112,1282.0,2543.0,1.0,aCM1
113,1815.0,1950.0,11.0,aCM1
114,1841.0,2166.0,19.0,aCM1
115,1176.0,1883.0,20.0,aCM1
116,1748.0,1887.0,4.0,aCM1
117,1116.0,1939.0,20.0,aCM1
118,1636.0,1983.0,24.0,aCM1
119,1224.0,2003.0,20.0,aCM1
120,1484.0,2003.0,20.0,aCM1
121,1668.0,2023.0,8.0,aCM1
122,1552.0,2051.0,12.0,aCM1
123,1508.0,2055.0,12.0,aCM1
124,1268.0,2175.0,24.0,aCM3
125,1748.0,2243.0,24.0,aCM1
126,1604.0,2247.0,20.0,aCM1
127,1068.0,2251.0,24.0,aCM1
128,1852.0,2303.0,16.0,aCM3
129,1428.0,2359.0,16.0,aCM3
130,1012.0,2367.0,24.0,aCM1
131,1724.0,2387.0,20.0,aCM3
132,1804.0,2399.0,24.0,aCM1
133,1752.0,2479.0,0.0,aCM3
134,1468.0,2507.0,12.0,aCM1
135,1244.0,2527.0,24.0,aCM1
136,1488.0,2555.0,24.0,aCM1
137,1732.0,2559.0,4.0,aCM1
138,1144.0,2631.0,24.0,aCM1
139,1848.0,2647.0,20.0,aCM1
140,1636.0,2743.0,24.0,aCM1
141,1768.0,2747.0,24.0,aCM3
142,1420.0,2779.0,20.0,aCM1
143,1250.0,3237.0,19.0,aCM3
144,1379.0,3383.0,7.0,aCM1
145,1815.0,2881.0,11.0,aCM1
146,1842.0,3608.0,19.0,aCM1
147,1518.0,3026.0,15.0,aCM5
148,1543.0,2881.0,4.0,aCM1
149,1051.0,2897.0,8.0,aCM1
150,1331.0,2909.0,0.0,aCM1
151,1855.0,2981.0,4.0,aCM3
152,1595.0,3021.0,4.0,aCM1
153,1491.0,3033.0,20.0,aCM1
154,1759.0,3033.0,24.0,aCM3
155,1803.0,3065.0,8.0,aCM3
156,1731.0,3081.0,16.0,aCM3
157,1091.0,3109.0,8.0,aCM1
158,1435.0,3229.0,20.0,aCM3
159,1151.0,3273.0,12.0,aCM3
160,1547.0,3289.0,12.0,aCM3
161,1295.0,3297.0,16.0,aCM1
162,1855.0,3305.0,24.0,aCM1
163,1283.0,3385.0,0.0,aCM1
164,1211.0,3389.0,16.0,aCM1
165,1515.0,3389.0,24.0,aCM1
166,1119.0,3405.0,24.0,aCM3
167,1539.0,3421.0,20.0,aCM1
168,1619.0,3433.0,12.0,aCM3
169,1115.0,3473.0,16.0,aCM1
170,1871.0,3473.0,20.0,aCM3
171,1047.0,3521.0,12.0,aCM1
172,1723.0,3525.0,24.0,aCM3
173,1127.0,3577.0,24.0,aCM1
174,1779.0,3609.0,16.0,aCM1
175,1583.0,3661.0,4.0,aCM3
176,1839.0,3669.0,20.0,aCM1
177,1105.0,3712.0,23.0,aCM1
178,1299.0,3729.0,24.0,aCM1
179,1715.0,3789.0,16.0,aCM3
180,1171.0,3849.0,24.0,aCM1
181,1547.0,3853.0,20.0,aCM1
182,1463.0,3961.0,8.0,aCM5
183,1203.0,4017.0,20.0,aCM1
184,1703.0,4017.0,8.0,aCM1
185,1443.0,4021.0,16.0,aCM1
186,1359.0,4061.0,16.0,aCM1
187,1511.0,4085.0,20.0,aCM3
188,1647.0,4089.0,8.0,aCM1
189,1191.0,4109.0,8.0,aCM1
190,1599.0,4109.0,12.0,aCM3
191,1423.0,4141.0,8.0,aCM1
192,1683.0,4161.0,8.0,aCM1
193,1383.0,4173.0,12.0,aCM1
194,1451.0,4181.0,20.0,aCM1
195,1235.0,4193.0,20.0,aCM1
196,1479.0,4197.0,12.0,aCM1
197,1607.0,4221.0,8.0,aCM3
198,1491.0,4249.0,8.0,aCM1
199,1655.0,4297.0,4.0,aCM1
200,1267.0,4301.0,16.0,aCM1
201,991.0,4437.0,4.0,aCM1
202,1519.0,5085.0,15.0,aCM3
203,1259.0,5197.0,15.0,aCM1
204,1322.0,4662.0,23.0,aCM1
205,1660.0,4621.0,16.0,aCM3
206,1212.0,4649.0,16.0,aCM1
207,1552.0,4681.0,12.0,aCM1
208,1720.0,4701.0,4.0,aCM1
209,1524.0,4717.0,12.0,aCM1
210,1452.0,4737.0,20.0,aCM1
211,1188.0,4789.0,8.0,aCM1
212,1252.0,4793.0,12.0,aCM1
213,1716.0,4893.0,4.0,aCM1
214,1836.0,4925.0,16.0,aCM1
215,1668.0,4957.0,12.0,aCM1
216,1432.0,4973.0,8.0,aCM1
217,1816.0,5033.0,24.0,aCM1
218,1672.0,5189.0,16.0,aCM1
219,1716.0,5221.0,24.0,aCM1
220,1428.0,5257.0,16.0,aCM1
221,1320.0,5277.0,12.0,aCM1
222,1472.0,5337.0,8.0,aCM1
223,1444.0,5385.0,24.0,aCM1
224,1536.0,5489.0,16.0,aCM1
225,1845.0,6170.0,7.0,aCM3
226,1757.0,5584.0,24.0,aCM1
227,1861.0,5680.0,4.0,aCM3
228,1761.0,5704.0,8.0,aCM1
229,1105.0,6008.0,12.0,aCM1
230,1837.0,6032.0,8.0,aCM1
231,1033.0,6056.0,16.0,aCM1
232,1029.0,6132.0,12.0,aCM1
233,1805.0,6308.0,4.0,aCM1
234,1533.0,6368.0,16.0,aCM1
